date,pjm_pv_jeremy_scaled
42462.83,0
42462.87,0
42462.92,0
42462.96,0
42463,0
42463.04,0
42463.08,0
42463.12,0
42463.17,0
42463.21,0.000906131
42463.25,0.099659059
42463.29,0.171969048
42463.33,0.223312464
42463.37,0.236924913
42463.42,0.326543068
42463.46,0.37097964
42463.5,0.570343156
42463.54,0.461613485
42463.58,0.498487781
42463.62,0.357914318
42463.67,0.324661832
42463.71,0.140490332
42463.75,0
42463.79,0
42463.83,0
42463.87,0
42463.92,0
42463.96,0
42464,0
42464.04,0
42464.08,0
42464.12,0
42464.17,0
42464.21,0.09739455
42464.25,0.529524081
42464.29,0.550972909
42464.33,0.725280533
42464.37,0.752107655
42464.42,0.798158205
42464.46,0.798158205
42464.5,0.76991318
42464.54,0.798158205
42464.58,0.788695464
42464.62,0.639764248
42464.67,0.512770405
42464.71,0.27718189
42464.75,0
42464.79,0
42464.83,0
42464.87,0
42464.92,0
42464.96,0
42465,0
42465.04,0
42465.08,0
42465.12,0
42465.17,0
42465.21,0.032898183
42465.25,0.21549245
42465.29,0.309917413
42465.33,0.293039389
42465.37,0.398659296
42465.42,0.327098157
42465.46,0.386324256
42465.5,0.246569557
42465.54,0.165011933
42465.58,0.104873821
42465.62,0.072474956
42465.67,0.097518709
42465.71,0.031189668
42465.75,0
42465.79,0
42465.83,0
42465.87,0
42465.92,0
42465.96,0
42466,0
42466.04,0
42466.08,0
42466.12,0
42466.17,0
42466.21,0.090436264
42466.25,0.437793225
42466.29,0.634617782
42466.33,0.715868114
42466.37,0.756828391
42466.42,0.798158205
42466.46,0.798158205
42466.5,0.798158205
42466.54,0.798158205
42466.58,0.798158205
42466.62,0.756342132
42466.67,0.631440994
42466.71,0.345285165
42466.75,0
42466.79,0
42466.83,0
42466.87,0
42466.92,0
42466.96,0
42467,0
42467.04,0
42467.08,0
42467.12,0
42467.17,0
42467.21,0.14487154
42467.25,0.456514449
42467.29,0.533349748
42467.33,0.745635005
42467.37,0.722789933
42467.42,0.679178473
42467.46,0.741218662
42467.5,0.656123345
42467.54,0.759598811
42467.58,0.683053458
42467.62,0.585868862
42467.67,0.369207594
42467.71,0.125126054
42467.75,0
42467.79,0
42467.83,0
42467.87,0
42467.92,0
42467.96,0
42468,0
42468.04,0
42468.08,0
42468.12,0
42468.17,0
42468.21,0.01154146
42468.25,0.08503858
42468.29,0.097485801
42468.33,0.158587042
42468.37,0.143390008
42468.42,0.28713201
42468.46,0.307419516
42468.5,0.379762218
42468.54,0.462265377
42468.58,0.466859956
42468.62,0.37599625
42468.67,0.330035673
42468.71,0.133617867
42468.75,0
42468.79,0
42468.83,0
42468.87,0
42468.92,0
42468.96,0
42469,0
42469.04,0
42469.08,0
42469.12,0
42469.17,0
42469.21,0.105303537
42469.25,0.447800641
42469.29,0.361362305
42469.33,0.382628906
42469.37,0.354210803
42469.42,0.405642679
42469.46,0.555936311
42469.5,0.58422866
42469.54,0.560260561
42469.58,0.64455591
42469.62,0.673977393
42469.67,0.565039903
42469.71,0.284241718
42469.75,0
42469.79,0
42469.83,0
42469.87,0
42469.92,0
42469.96,0
42470,0
42470.04,0
42470.08,0
42470.12,0
42470.17,0
42470.21,0.004061663
42470.25,0.031585967
42470.29,0.059639961
42470.33,0.111349168
42470.37,0.263777537
42470.42,0.356862346
42470.46,0.320473613
42470.5,0.327502158
42470.54,0.342237974
42470.58,0.220544946
42470.62,0.204729055
42470.67,0.133693303
42470.71,0.12858804
42470.75,0
42470.79,0
42470.83,0
42470.87,0
42470.92,0
42470.96,0
42471,0
42471.04,0
42471.08,0
42471.12,0
42471.17,0
42471.21,0.209195995
42471.25,0.558379095
42471.29,0.623700967
42471.33,0.698040207
42471.37,0.701353845
42471.42,0.651867756
42471.46,0.637092971
42471.5,0.660350336
42471.54,0.69857003
42471.58,0.664515513
42471.62,0.510576786
42471.67,0.396169606
42471.71,0.163245415
42471.75,0
42471.79,0
42471.83,0
42471.87,0
42471.92,0
42471.96,0
42472,0
42472.04,0
42472.08,0
42472.12,0
42472.17,0
42472.21,0.009370739
42472.25,0.078248647
42472.29,0.097483265
42472.33,0.131922056
42472.37,0.299499571
42472.42,0.441843914
42472.46,0.65447233
42472.5,0.575695283
42472.54,0.602496572
42472.58,0.522175172
42472.62,0.47803571
42472.67,0.356450148
42472.71,0.158088171
42472.75,0
42472.79,0
42472.83,0
42472.87,0
42472.92,0
42472.96,0
42473,0
42473.04,0
42473.08,0
42473.12,0
42473.17,0
42473.21,0.02190461
42473.25,0.118629175
42473.29,0.209333591
42473.33,0.36505671
42473.37,0.382529119
42473.42,0.443753883
42473.46,0.572223386
42473.5,0.738571816
42473.54,0.796939418
42473.58,0.757049299
42473.62,0.722922505
42473.67,0.601301741
42473.71,0.339507553
42473.75,0
42473.79,0
42473.83,0
42473.87,0
42473.92,0
42473.96,0
42474,0
42474.04,0
42474.08,0
42474.12,0
42474.17,0
42474.21,0.217988862
42474.25,0.552007094
42474.29,0.701450462
42474.33,0.780379237
42474.37,0.798158205
42474.42,0.798158205
42474.46,0.798158205
42474.5,0.798158205
42474.54,0.787539387
42474.58,0.779954676
42474.62,0.708149336
42474.67,0.579005135
42474.71,0.312708918
42474.75,0
42474.79,0
42474.83,0
42474.87,0
42474.92,0
42474.96,0
42475,0
42475.04,0
42475.08,0
42475.12,0
42475.17,0
42475.21,0.210714818
42475.25,0.528321703
42475.29,0.679189845
42475.33,0.761394521
42475.37,0.798158205
42475.42,0.798158205
42475.46,0.798158205
42475.5,0.798158205
42475.54,0.798158205
42475.58,0.770349975
42475.62,0.695648489
42475.67,0.568005225
42475.71,0.314894827
42475.75,0
42475.79,0
42475.83,0
42475.87,0
42475.92,0
42475.96,0
42476,0
42476.04,0
42476.08,0
42476.12,0
42476.17,0
42476.21,0.226785283
42476.25,0.545156355
42476.29,0.693521756
42476.33,0.773104857
42476.37,0.798158205
42476.42,0.798158205
42476.46,0.798158205
42476.5,0.798158205
42476.54,0.798158205
42476.58,0.774133899
42476.62,0.701206704
42476.67,0.573775207
42476.71,0.318996611
42476.75,0
42476.79,0
42476.83,0
42476.87,0
42476.92,0
42476.96,0
42477,0
42477.04,0
42477.08,0
42477.12,0
42477.17,0
42477.21,0.224001316
42477.25,0.530834997
42477.29,0.678386617
42477.33,0.758955884
42477.37,0.797173819
42477.42,0.798158205
42477.46,0.798158205
42477.5,0.798158205
42477.54,0.798158205
42477.58,0.772571115
42477.62,0.702127118
42477.67,0.578664465
42477.71,0.330341611
42477.75,0
42477.79,0
42477.83,0
42477.87,0
42477.92,0
42477.96,0
42478,0
42478.04,0
42478.08,0
42478.12,0
42478.17,0
42478.21,0.240612006
42478.25,0.538976858
42478.29,0.680433812
42478.33,0.757702331
42478.37,0.797174232
