Date,Desert_NC
40684.87,0.007412928
40684.92,0.028204513
40684.96,0.019011848
40685,0.013358109
40685.04,0.019017548
40685.08,0.039987838
40685.12,0.021046341
40685.17,0.015590023
40685.21,0.012463375
40685.25,0.007138704
40685.29,0
40685.33,0
40685.37,0
40685.42,0
40685.46,0.004478339
40685.5,0.008733197
40685.54,0.012810285
40685.58,0.058676021
40685.62,0.200115398
40685.67,0.244961767
40685.71,0.294414271
40685.75,0.34446108
40685.79,0.398271685
40685.83,0.394296705
40685.87,0.42985817
40685.92,0.388671603
40685.96,0.362801342
40686,0.387166597
40686.04,0.395608712
40686.08,0.307152445
40686.12,0.267727795
40686.17,0.356293121
40686.21,0.32012168
40686.25,0.197861812
40686.29,0.261486635
40686.33,0.322746657
40686.37,0.354005659
40686.42,0.337493504
40686.46,0.230297854
40686.5,0.216963994
40686.54,0.320762864
40686.58,0.2209304
40686.62,0.235070581
40686.67,0.408187364
40686.71,0.551557976
40686.75,0.640508238
40686.79,0.646331751
40686.83,0.631503628
40686.87,0.220282228
40686.92,0.405448015
40686.96,0.198413134
40687,0.214478647
40687.04,0.218683866
40687.08,0.289093036
40687.12,0.378068635
40687.17,0.299922267
40687.21,0.215832501
40687.25,0.287918889
40687.29,0.196238707
40687.33,0.154868807
40687.37,0.161291409
40687.42,0.16229544
40687.46,0.149646684
40687.5,0.144304803
40687.54,0.143690769
40687.58,0.143373299
40687.62,0.211600603
40687.67,0.26165116
40687.71,0.299228655
40687.75,0.297848724
40687.79,0.471587702
40687.83,0.312769079
40687.87,0.0181074
40687.92,0.029077299
40687.96,0.057744827
40688,0.008335557
40688.04,0.00336071
40688.08,0.107961849
40688.12,0.197930235
40688.17,0.164618707
40688.21,0.007695518
40688.25,0.008590934
40688.29,0.009550773
40688.33,0.010818364
40688.37,0.024786825
40688.42,0.029031067
40688.46,0.017880524
40688.5,0.023048384
40688.54,0.008707158
40688.58,0.025920508
40688.62,0.035051081
40688.67,0.025288268
40688.71,0.014238182
40688.75,0.024039598
40688.79,0.116060663
40688.83,0.29658019
40688.87,0.323680773
40688.92,0.361109343
40688.96,0.390563686
40689,0.373672337
40689.04,0.32957115
40689.08,0.369221627
40689.12,0.386978563
40689.17,0.390284761
40689.21,0.385892274
40689.25,0.272141319
40689.29,0.137883975
40689.33,0.13287767
40689.37,0.190398833
40689.42,0.197409836
40689.46,0.208471582
40689.5,0.225413601
40689.54,0.239990442
40689.58,0.239902013
40689.62,0.31827085
40689.67,0.28195952
40689.71,0.308474416
40689.75,0.434591899
40689.79,0.66467329
40689.83,0.639978102
40689.87,0.612774477
40689.92,0.529135215
40689.96,0.489561254
40690,0.441583288
40690.04,0.379849079
40690.08,0.352102299
40690.12,0.294670054
40690.17,0.174496686
40690.21,0.155728361
40690.25,0.110806516
40690.29,0.108534702
40690.33,0.116894919
40690.37,0.164314424
40690.42,0.199600801
40690.46,0.256183566
40690.5,0.163459607
40690.54,0.34706575
40690.58,0.305549395
40690.62,0.190881841
40690.67,0.584562486
40690.71,0.546963662
40690.75,0.482141631
40690.79,0.065026958
40690.83,0.167664375
40690.87,0.397280099
40690.92,0.370757434
40690.96,0.331065361
40691,0.277812285
40691.04,0.306164889
40691.08,0.272321013
40691.12,0.210697672
40691.17,0.120370972
40691.21,0.260500124
40691.25,0.037933148
40691.29,0.016788234
40691.33,0.010042902
40691.37,0.013319785
40691.42,0.044548725
40691.46,0.065752641
40691.5,0.1004339
40691.54,0.118226332
40691.58,0.229775347
40691.62,0.327782259
40691.67,0.315581844
40691.71,0.305400489
40691.75,0.032752586
40691.79,0.007100837
40691.83,0.240027143
40691.87,0.354490127
40691.92,0.337681716
40691.96,0.298259221
40692,0.29518166
40692.04,0.271482943
40692.08,0.222993782
40692.12,0.193040974
40692.17,0.123404833
40692.21,0.044896688
40692.25,0.024657685
40692.29,0.025642805
40692.33,0.036620945
40692.37,0.043587733
40692.42,0.048807981
40692.46,0.077749755
40692.5,0.017586957
40692.54,0.081351537
40692.58,0.031462163
40692.62,0.079803058
40692.67,0.185858174
40692.71,0.239297263
40692.75,0.143156136
40692.79,0.282597255
40692.83,0.46661149
40692.87,0.443602595
40692.92,0.397877808
40692.96,0.365097915
40693,0.402956937
40693.04,0.398635071
40693.08,0.408955857
40693.12,0.382602179
40693.17,0.350840994
40693.21,0.341709845
40693.25,0.152430413
40693.29,0.080620616
40693.33,0.075772465
40693.37,0.088222435
40693.42,0.067213609
40693.46,0.057454547
40693.5,0.030201891
40693.54,0.015685107
40693.58,0.010047226
40693.62,0.008596762
40693.67,0.010661991
40693.71,0.016811902
40693.75,0.002122493
40693.79,0.010644419
40693.83,0.009784308
40693.87,0.097138523
40693.92,0.115409403
40693.96,0.089646098
40694,0.032376486
40694.04,0.018764082
40694.08,0.023996988
40694.12,0.040251885
40694.17,0.025270875
40694.21,0.087980716
40694.25,0.060998241
40694.29,0.011822604
40694.33,0.02343643
40694.37,0.025025666
40694.42,0.095792319
40694.46,0.157009517
40694.5,0.230383833
40694.54,0.276282595
40694.58,0.279696662
40694.62,0.283496227
40694.67,0.227451429
40694.71,0.147218405
40694.75,0.099504315
40694.79,0.074684631
40694.83,0.11103087
40694.87,0.149235885
40694.92,0.129390379
40694.96,0.136124718
40695,0.103264509
40695.04,0.062523873
40695.08,0.028846882
40695.12,0.010246863
40695.17,0.008273103
40695.21,0.007967653
40695.25,0
40695.29,0
40695.33,0
40695.37,0
40695.42,0
40695.46,0
40695.5,0
40695.54,0
40695.58,0.042651838
40695.62,0.104062176
40695.67,0.149776409
40695.71,0.052146535
40695.75,0.331566863
40695.79,0.201188961
40695.83,0.511146302
40695.87,0.37249191
40695.92,0.036804664
40695.96,0.025477826
40696,0
40696.04,0.017356113
40696.08,0.048449935
40696.12,0
40696.17,0.003649134
40696.21,0.01241007
40696.25,0.008043173
40696.29,0.005726467
40696.33,0.010545022
40696.37,0.038591307
40696.42,0.029993847
40696.46,0.036581697
40696.5,0.034413865
40696.54,0.015643513
40696.58,0.031498797
40696.62,0.026354151
40696.67,0.025279312
40696.71,0.00977664
40696.75,0.004082256
40696.79,0.009821506
40696.83,0
40696.87,0.318321898
40696.92,0.522239096
40696.96,0.38569452
40697,0.639664988
40697.04,0.590772645
