Date,Power (MW per MW installed capacity)
39112.66667,0.226106814
39112.70833,0.321919119
39112.75,0.377192148
39112.79167,0.41882537
39112.83333,0.45698697
39112.875,0.485101722
39112.91667,0.496723048
39112.95833,0.484213955
39113,0.461370564
39113.04167,0.441374373
39113.08333,0.429237467
39113.125,0.418196209
39113.16667,0.420885316
39113.20833,0.420755426
39113.25,0.412774528
39113.29167,0.390362135
39113.33333,0.328221627
39113.375,0.268394959
39113.41667,0.218863786
39113.45833,0.203096651
39113.5,0.197784628
39113.54167,0.203656701
39113.58333,0.241667887
39113.625,0.29377749
39113.66667,0.314869316
39113.70833,0.358064598
39113.75,0.426615143
39113.79167,0.482308424
39113.83333,0.520881016
39113.875,0.531178619
39113.91667,0.52078584
39113.95833,0.50659633
39114,0.506261959
39114.04167,0.497366335
39114.08333,0.466923107
39114.125,0.450658793
39114.16667,0.440670343
39114.20833,0.431895256
39114.25,0.422599753
39114.29167,0.406037689
39114.33333,0.318745017
39114.375,0.21190583
39114.41667,0.149918688
39114.45833,0.130557568
39114.5,0.143489362
39114.54167,0.179670314
39114.58333,0.218571421
39114.625,0.27411435
39114.66667,0.354902426
39114.70833,0.437471114
39114.75,0.452633853
39114.79167,0.448561112
39114.83333,0.42880804
39114.875,0.38099943
39114.91667,0.290539613
39114.95833,0.181333776
39115,0.101445438
39115.04167,0.067759509
39115.08333,0.050113614
39115.125,0.048099394
39115.16667,0.047716727
39115.20833,0.049309312
39115.25,0.069661763
39115.29167,0.06244609
39115.33333,0.037118453
39115.375,0.018621902
39115.41667,0.013098641
39115.45833,0.01158017
39115.5,0.008465002
39115.54167,0.006166183
39115.58333,0.004817997
39115.625,0.004565257
39115.66667,0.005065794
39115.70833,0.004632072
39115.75,0.005012223
39115.79167,0.005858678
39115.83333,0.007752805
39115.875,0.009011464
39115.91667,0.010827383
39115.95833,0.012347938
39116,0.013399738
39116.04167,0.014352862
39116.08333,0.015119555
39116.125,0.016091726
39116.16667,0.019802806
39116.20833,0.024984644
39116.25,0.028478652
39116.29167,0.0260574
39116.33333,0.023713236
39116.375,0.015373699
39116.41667,0.014191757
39116.45833,0.013738813
39116.5,0.01407153
39116.54167,0.012662272
39116.58333,0.012112783
39116.625,0.014194987
39116.66667,0.015896954
39116.70833,0.019345761
39116.75,0.02068824
39116.79167,0.020440451
39116.83333,0.022849614
39116.875,0.028060185
39116.91667,0.032677345
39116.95833,0.03940202
39117,0.045022079
39117.04167,0.04997482
39117.08333,0.060582906
39117.125,0.072461791
39117.16667,0.080063743
39117.20833,0.095264687
39117.25,0.112718756
39117.29167,0.093494231
39117.33333,0.067775652
39117.375,0.042940143
39117.41667,0.035883652
39117.45833,0.032648259
39117.5,0.032032113
39117.54167,0.032622974
39117.58333,0.035230292
39117.625,0.032928739
39117.66667,0.035499917
39117.70833,0.042065427
39117.75,0.064253206
39117.79167,0.097962003
39117.83333,0.090640675
39117.875,0.07388798
39117.91667,0.060151788
39117.95833,0.064419111
39118,0.076960267
39118.04167,0.079950313
39118.08333,0.081216953
39118.125,0.100580636
39118.16667,0.11186451
39118.20833,0.107728062
39118.25,0.099402931
39118.29167,0.094444587
39118.33333,0.061515955
39118.375,0.038525749
39118.41667,0.041497851
39118.45833,0.043572245
39118.5,0.050232047
39118.54167,0.057800051
39118.58333,0.04970393
39118.625,0.037366341
39118.66667,0.02690997
39118.70833,0.034310801
39118.75,0.073130736
39118.79167,0.127620419
39118.83333,0.123453121
39118.875,0.115338394
39118.91667,0.108967854
39118.95833,0.10791829
39119,0.101235902
39119.04167,0.094792452
39119.08333,0.098119702
39119.125,0.092585004
39119.16667,0.080768666
39119.20833,0.067133502
39119.25,0.062995013
39119.29167,0.058015485
39119.33333,0.04341505
39119.375,0.024837686
39119.41667,0.02481538
39119.45833,0.025263501
39119.5,0.024670816
39119.54167,0.028275705
39119.58333,0.034462688
39119.625,0.044805533
39119.66667,0.063549003
39119.70833,0.096490015
39119.75,0.080340092
39119.79167,0.079379582
39119.83333,0.089385768
39119.875,0.094603974
39119.91667,0.093126372
39119.95833,0.092113712
39120,0.090771971
39120.04167,0.083338373
39120.08333,0.076752617
39120.125,0.072430948
39120.16667,0.07852298
39120.20833,0.076545147
39120.25,0.089096449
39120.29167,0.085717009
39120.33333,0.071045852
39120.375,0.060715814
39120.41667,0.074859001
39120.45833,0.094368823
39120.5,0.120671718
39120.54167,0.137208014
39120.58333,0.168808131
39120.625,0.188727169
39120.66667,0.259045344
39120.70833,0.335881142
39120.75,0.381688739
39120.79167,0.399134089
39120.83333,0.386583349
39120.875,0.342011938
39120.91667,0.249688202
39120.95833,0.185090175
39121,0.140115293
39121.04167,0.136895265
39121.08333,0.126750173
39121.125,0.120229268
39121.16667,0.091242418
39121.20833,0.071323264
39121.25,0.060143256
39121.29167,0.048614878
39121.33333,0.028281727
39121.375,0.01729835
39121.41667,0.018864235
39121.45833,0.021860927
39121.5,0.024678942
39121.54167,0.033350179
39121.58333,0.047733352
39121.625,0.083070004
39121.66667,0.108130461
39121.70833,0.108211584
39121.75,0.127874162
39121.79167,0.126963291
39121.83333,0.158411115
39121.875,0.214055203
39121.91667,0.257096961
39121.95833,0.260453392
39122,0.215034049
39122.04167,0.172523939
39122.08333,0.160596789
39122.125,0.160316352
39122.16667,0.156326901
39122.20833,0.150413419
39122.25,0.124191445
39122.29167,0.097999848
39122.33333,0.072790207
39122.375,0.057727046
39122.41667,0.046690626
39122.45833,0.062956353
39122.5,0.080702617
39122.54167,0.086226568
39122.58333,0.091335921
39122.625,0.106198597
39122.66667,0.124550687
39122.70833,0.163783399
39122.75,0.176279052
39122.79167,0.173429431
39122.83333,0.171922375
39122.875,0.160938746
39122.91667,0.140586009
39122.95833,0.109742669
39123,0.082820724
39123.04167,0.072277677
39123.08333,0.077924452
39123.125,0.106623821
39123.16667,0.128467341
39123.20833,0.141314139
39123.25,0.144920521
39123.29167,0.134643761
39123.33333,0.108128295
39123.375,0.109231996
39123.41667,0.124110629
39123.45833,0.157597911
39123.5,0.214809992
39123.54167,0.20705046
39123.58333,0.19779487
39123.625,0.220307444
39123.66667,0.214468284
39123.70833,0.220959199
39123.75,0.228903951
39123.79167,0.197127117
39123.83333,0.21115042
39123.875,0.27497187
39123.91667,0.305657658
39123.95833,0.292188957
39124,0.256773554
39124.04167,0.258367226
39124.08333,0.267326821
39124.125,0.280620145
39124.16667,0.263468751
