Date,Radfords_Run_IL
39774.96,0.6375917
39775,0.619370514
39775.04,0.546651249
39775.08,0.472544211
39775.12,0.445997771
39775.17,0.426783981
39775.21,0.521351691
39775.25,0.525422914
39775.29,0.592517383
39775.33,0.353369052
39775.37,0.110413379
39775.42,0.06176239
39775.46,0.097055041
39775.5,0.147842209
39775.54,0.163769621
39775.58,0.164883571
39775.62,0.324675807
39775.67,0.627706783
39775.71,0.772862664
39775.75,0.832765896
39775.79,0.824807323
39775.83,0.825279819
39775.87,0.75943471
39775.92,0.656140723
39775.96,0.73652222
39776,0.597726803
39776.04,0.474138668
39776.08,0.437820378
39776.12,0.388377277
39776.17,0.372627329
39776.21,0.40432805
39776.25,0.485295414
39776.29,0.619325278
39776.33,0.605954386
39776.37,0.365133775
39776.42,0.610588104
39776.46,0.558563474
39776.5,0.715167106
39776.54,0.702550284
39776.58,0.754268827
39776.62,0.733690486
39776.67,0.747133568
39776.71,0.822007463
39776.75,0.775658506
39776.79,0.797099855
39776.83,0.814900402
39776.87,0.79694014
39776.92,0.783663672
39776.96,0.749007969
39777,0.687273301
39777.04,0.596024443
39777.08,0.608814787
39777.12,0.653578609
39777.17,0.529514887
39777.21,0.428262829
39777.25,0.423207096
39777.29,0.433116418
39777.33,0.273375813
39777.37,0.138026687
39777.42,0.112459412
39777.46,0.067984445
39777.5,0.042300257
39777.54,0.058665554
39777.58,0.059254455
39777.62,0.05809615
39777.67,0.098099096
39777.71,0.085321641
39777.75,0.083457272
39777.79,0.066712284
39777.83,0.024832338
39777.87,0.018591619
39777.92,0.01077131
39777.96,0.004936806
39778,0.010840469
39778.04,0.0112447
39778.08,0
39778.12,0
39778.17,0
39778.21,0
39778.25,0
39778.29,0
39778.33,0
39778.37,0
39778.42,0
39778.46,0
39778.5,0
39778.54,0
39778.58,0
39778.62,0
39778.67,0
39778.71,0
39778.75,0
39778.79,0
39778.83,0
39778.87,0
39778.92,0
39778.96,0
39779,0.013820666
39779.04,0.010756551
39779.08,0.017297058
39779.12,0.052252102
39779.17,0.062655363
39779.21,0.025125801
39779.25,0.05713174
39779.29,0.123503581
39779.33,0.122892994
39779.37,0.022555843
39779.42,0.010893537
39779.46,0.027435293
39779.5,0.068678603
39779.54,0.121524136
