date,pjm_pv_jeremy_3_28
40728.75,0.091869641
40728.79,0.024220759
40728.83,0
40728.87,0
40728.92,0
40728.96,0
40729,0
40729.04,0
40729.08,0
40729.12,0
40729.17,0
40729.21,0.00826276
40729.25,0.071568649
40729.29,0.266697542
40729.33,0.462564409
40729.37,0.615421813
40729.42,0.714521238
40729.46,0.754823187
40729.5,0.749443178
40729.54,0.774753919
40729.58,0.658902804
40729.62,0.575598499
40729.67,0.479749817
40729.71,0.327213639
40729.75,0.133886433
40729.79,0.030839467
40729.83,0
40729.87,0
40729.92,0
40729.96,0
40730,0
40730.04,0
40730.08,0
40730.12,0
40730.17,0
40730.21,0.006213278
40730.25,0.070089095
40730.29,0.202726586
40730.33,0.359073936
40730.37,0.463757935
40730.42,0.57709015
40730.46,0.626042163
40730.5,0.612971036
40730.54,0.597671867
40730.58,0.564651636
40730.62,0.548405365
40730.67,0.447773131
40730.71,0.262962255
40730.75,0.127192649
40730.79,0.031882762
40730.83,0
40730.87,0
40730.92,0
40730.96,0
40731,0
40731.04,0
40731.08,0
40731.12,0
40731.17,0
40731.21,0.008321608
40731.25,0.074494854
40731.29,0.249270115
40731.33,0.446425063
40731.37,0.593901276
40731.42,0.692655513
40731.46,0.721153247
40731.5,0.692450395
40731.54,0.555583548
40731.58,0.492581967
40731.62,0.483765867
40731.67,0.371882615
40731.71,0.251914599
40731.75,0.107831839
40731.79,0.02495604
40731.83,0
40731.87,0
40731.92,0
40731.96,0
40732,0
40732.04,0
40732.08,0
40732.12,0
40732.17,0
40732.21,0.004259003
40732.25,0.057685045
40732.29,0.172031218
40732.33,0.313398387
40732.37,0.397491618
40732.42,0.398879908
40732.46,0.487378417
40732.5,0.546639896
40732.54,0.325102648
40732.58,0.383368053
40732.62,0.308424683
40732.67,0.188526073
40732.71,0.136914502
40732.75,0.075396566
40732.79,0.016244136
40732.83,0
40732.87,0
40732.92,0
40732.96,0
40733,0
40733.04,0
40733.08,0
40733.12,0
40733.17,0
40733.21,0.007723167
40733.25,0.074333892
40733.29,0.264276646
40733.33,0.464730144
40733.37,0.623973793
40733.42,0.731746557
40733.46,0.790408559
40733.5,0.809566371
40733.54,0.736624444
40733.58,0.719300404
40733.62,0.652606868
40733.67,0.506629134
40733.71,0.339108795
40733.75,0.134353271
40733.79,0.029717044
40733.83,0
40733.87,0
40733.92,0
40733.96,0
40734,0
40734.04,0
40734.08,0
40734.12,0
40734.17,0
40734.21,0.008149787
40734.25,0.067030674
40734.29,0.267846488
40734.33,0.466509364
40734.37,0.61911648
40734.42,0.718876826
40734.46,0.774128566
40734.5,0.711761618
40734.54,0.771206868
40734.58,0.654263243
40734.62,0.644219892
40734.67,0.506675488
40734.71,0.327818852
40734.75,0.133451944
40734.79,0.029705352
