date,util_pv_pjm
42701.42,0.875411636
42701.46,0.790889133
42701.5,0.819429199
42701.54,0.777991218
42701.58,0.67974753
42701.62,0.431394072
42701.67,0.038693743
42701.71,0
42701.75,0
42701.79,0
42701.83,0
42701.87,0
42701.92,0
42701.96,0
42702,0
42702.04,0
42702.08,0
42702.12,0
42702.17,0
42702.21,0
42702.25,0
42702.29,0.008781559
42702.33,0.211580681
42702.37,0.431394072
42702.42,0.549396268
42702.46,0.585620198
42702.5,0.577387486
42702.54,0.503567508
42702.58,0.31586169
42702.62,0.209934138
42702.67,0.006860593
42702.71,0
42702.75,0
42702.79,0
42702.83,0
42702.87,0
42702.92,0
42702.96,0
42703,0
42703.04,0
42703.08,0
42703.12,0
42703.17,0
42703.21,0
42703.25,0
42703.29,0
42703.33,0.020856202
42703.37,0.0532382
42703.42,0.093029638
42703.46,0.13611416
42703.5,0.145170143
42703.54,0.114983535
42703.58,0.102360044
42703.62,0.018111965
42703.67,0
42703.71,0
42703.75,0
42703.79,0
42703.83,0
42703.87,0
42703.92,0
42703.96,0
42704,0
42704.04,0
42704.08,0
42704.12,0
42704.17,0
42704.21,0
42704.25,0
42704.29,0
42704.33,0.050219539
42704.37,0.104555434
42704.42,0.211855104
42704.46,0.280461032
42704.5,0.210482986
42704.54,0.227497256
42704.58,0.103457739
42704.62,0.037596048
42704.67,0
42704.71,0
42704.75,0
42704.79,0
42704.83,0
42704.87,0
42704.92,0
42704.96,0
42705,0
42705.04,0
42705.08,0
42705.12,0
42705.17,0
42705.21,0
42705.25,0
42705.29,0
42705.33,0.280735456
42705.37,0.631723381
42705.42,0.813117453
42705.46,0.768386389
42705.5,0.705817783
42705.54,0.551866081
42705.58,0.505488474
42705.62,0.299396268
42705.67,0.035949506
42705.71,0
42705.75,0
42705.79,0
42705.83,0
42705.87,0
42705.92,0
42705.96,0
42706,0
42706.04,0
42706.08,0
42706.12,0
42706.17,0
42706.21,0
42706.25,0
42706.29,0.00521405
42706.33,0.361416026
42706.37,0.690724479
42706.42,0.817233809
42706.46,0.868276619
42706.5,0.795554336
42706.54,0.736278814
42706.58,0.633644347
42706.62,0.372941822
42706.67,0.035675082
42706.71,0.01180022
42706.75,0.01180022
42706.79,0.01180022
42706.83,0.01180022
42706.87,0.01180022
42706.92,0.01180022
42706.96,0.01180022
42707,0.01180022
42707.04,0.01180022
42707.08,0.01180022
42707.12,0.01180022
42707.17,0.01180022
42707.21,0.01180022
42707.25,0.01180022
42707.29,0.025521405
42707.33,0.390230516
42707.37,0.61909989
42707.42,0.697036224
