Date,PJM Load (MW)
38752.12,72436.61874
38752.17,71544.89959
38752.21,71819.9198
38752.25,73994.14364
38752.29,77890.69875
38752.33,82420.34675
38752.37,86904.78407
38752.42,90855.93717
38752.46,92964.26964
38752.5,93686.28968
38752.54,93019.3236
38752.58,92255.43875
38752.62,91195.25024
38752.67,90982.90958
38752.71,91993.89566
38752.75,94860.95821
38752.79,97359.51979
38752.83,96434.8035
38752.87,94362.89206
38752.92,91630.13043
38752.96,87502.33699
38753,82670.8756
38753.04,78290.63372
38753.08,75867.06088
38753.12,74697.83231
38753.17,74447.97461
38753.21,75123.24312
38753.25,76812.56163
38753.29,79887.43439
38753.33,83358.79817
38753.37,87301.58966
38753.42,90204.76394
38753.46,91331.02644
38753.5,91828.62788
38753.54,92202.21702
38753.58,92355.65043
38753.62,92054.53271
38753.67,92271.08401
38753.71,93950.29779
38753.75,97887.26339
38753.79,101040.4875
38753.83,99954.84162
38753.87,99433.57173
38753.92,97527.04531
38753.96,94814.49654
38754,90125.54406
38754.04,85746.15963
38754.08,84070.51444
38754.12,83413.20584
38754.17,83346.99023
38754.21,85305.18021
38754.25,92199.29475
38754.29,102952.9839
38754.33,109024.3842
38754.37,109126.1937
38754.42,108006.9667
38754.46,107166.5799
38754.5,105749.8233
38754.54,103999.0587
38754.58,102268.7231
38754.62,100658.1691
38754.67,99415.81016
38754.71,100093.671
38754.75,105266.1048
38754.79,111845.7183
38754.83,112633.1315
38754.87,111150.4287
38754.92,107428.6389
38754.96,100903.9859
38755,94101.425
38755.04,89536.17387
38755.08,87050.56765
38755.12,86095.70958
38755.17,86493.48753
38755.21,88499.30762
38755.25,94368.33611
38755.29,105370.593
38755.33,111228.5565
38755.37,110144.5761
38755.42,108203.6204
38755.46,106442.4391
38755.5,104479.5127
38755.54,102811.603
38755.58,101436.0009
38755.62,100209.1724
38755.67,99582.37393
38755.71,100799.9202
38755.75,106113.6462
38755.79,112452.5
38755.83,113157.9254
38755.87,111288.764
38755.92,107754.469
38755.96,101414.2046
38756,94616.95919
38756.04,90009.58057
38756.08,87846.03182
38756.12,86863.36946
38756.17,86996.9112
38756.21,89200.49646
38756.25,95281.84757
38756.29,106132.034
38756.33,111686.0722
38756.37,110430.393
38756.42,108658.0347
38756.46,107096.8054
38756.5,105581.1841
38756.54,104267.6593
38756.58,103203.0201
38756.62,102306.3917
38756.67,101999.4386
38756.71,104025.5947
38756.75,108830.5197
38756.79,114138.0417
38756.83,114564.4201
38756.87,112916.4532
38756.92,109264.6732
38756.96,102989.5706
38757,96292.95133
38757.04,91650.16786
38757.08,89536.45704
38757.12,88835.0412
38757.17,89027.56309
38757.21,91381.81837
38757.25,97751.53369
38757.29,108685.4022
38757.33,114157.0552
38757.37,112973.7236
38757.42,110988.926
38757.46,109303.0924
38757.5,107548.9934
38757.54,105788.0618
38757.58,104137.0999
38757.62,102224.3633
38757.67,101362.7867
38757.71,102575.6999
38757.75,107941.0377
38757.79,114681.57
38757.83,115501.6558
38757.87,114138.2686
38757.92,110662.7259
38757.96,104340.7124
38758,97430.60242
38758.04,92795.31743
38758.08,90628.99758
38758.12,89686.91449
38758.17,89647.50898
38758.21,91577.14751
38758.25,97157.35478
38758.29,107300.5994
38758.33,112852.5459
38758.37,112288.5503
38758.42,110706.1601
38758.46,108839.6616
38758.5,106592.975
38758.54,104479.4025
38758.58,102653.9608
38758.62,100712.1635
38758.67,99375.87669
38758.71,99880.18572
38758.75,103360.1913
38758.79,107719.056
38758.83,107086.1145
38758.87,105850.5974
38758.92,102518.9046
38758.96,97521.35348
38759,91494.186
38759.04,86255.72326
38759.08,83139.42296
38759.12,81636.43612
38759.17,81067.32943
38759.21,81485.44664
38759.25,83500.94893
38759.29,87190.72698
38759.33,91445.01308
38759.37,95591.71742
38759.42,98627.50875
38759.46,99192.20772
38759.5,98827.99027
38759.54,97766.38573
38759.58,96297.93874
38759.62,95143.82604
38759.67,95108.19543
38759.71,96653.21887
38759.75,100237.1112
38759.79,104251.947
38759.83,103579.7611
38759.87,102001.17
38759.92,98871.72617
38759.96,94590.36987
38760,89492.48484
38760.04,85192.08158
38760.08,82712.16447
38760.12,81701.27127
38760.17,81257.97961
38760.21,81751.14239
38760.25,83265.48345
38760.29,85960.64712
38760.33,88589.61207
38760.37,91877.96692
38760.42,94499.57346
38760.46,95232.00948
38760.5,95312.25592
38760.54,94848.97612
38760.58,93934.49671
38760.62,93070.96183
38760.67,93062.69186
38760.71,94662.5985
38760.75,99587.99558
38760.79,106043.5721
