Date,Waymart_PA
39644.08,0.079247818
39644.12,0.080302516
39644.17,0.073431517
39644.21,0.065750475
39644.25,0.034753645
39644.29,0.009356646
39644.33,0.008669023
39644.37,0.012235949
39644.42,0.010166568
39644.46,0.01466851
39644.5,0.018067895
39644.54,0.043482722
39644.58,0.017344229
39644.62,0.030039767
39644.67,0.037958979
39644.71,0.012070798
39644.75,0.009741329
39644.79,0.01068137
39644.83,0
39644.87,0
39644.92,0
39644.96,0
39645,0
39645.04,0
39645.08,0
39645.12,0
39645.17,0.008557741
39645.21,0.010195696
39645.25,0
39645.29,0.004834023
39645.33,0.009625015
39645.37,0.009002688
39645.42,0.009283196
39645.46,0.019031911
39645.5,0.0133947
39645.54,0.009654691
39645.58,0.014728178
39645.62,0.019286711
39645.67,0.015641896
39645.71,0.01476434
39645.75,0.029339281
39645.79,0.187422684
39645.83,0.2799932
39645.87,0.210286068
39645.92,0.109509555
39645.96,0.042613784
39646,0.106915792
39646.04,0.148042262
39646.08,0.078868193
39646.12,0.028154548
39646.17,0.00736222
39646.21,0
39646.25,0
39646.29,0
39646.33,0
39646.37,0
39646.42,0
39646.46,0.004857338
39646.5,0.001368343
39646.54,0.158755512
39646.58,0.224840036
39646.62,0.528598478
39646.67,0.432442612
39646.71,0.308533713
39646.75,0.035398431
39646.79,0.234445987
39646.83,0.602582368
39646.87,0.641093221
39646.92,0.656836174
39646.96,0.500136843
39647,0.400019791
39647.04,0.381011659
39647.08,0.256961386
39647.12,0.334797564
39647.17,0.334052764
39647.21,0.370581274
39647.25,0.349575866
39647.29,0.193196714
39647.33,0.076702055
39647.37,0.061887389
39647.42,0.094658963
39647.46,0.185418623
39647.5,0.345652077
39647.54,0.52773473
39647.58,0.607857167
39647.62,0.630169803
39647.67,0.302339896
39647.71,0.089093164
39647.75,0.035133857
39647.79,0.010643023
39647.83,0.001957027
39647.87,0.022212286
39647.92,0.262307508
39647.96,0.399897683
39648,0.441074905
39648.04,0.511070709
39648.08,0.473408585
39648.12,0.36974281
39648.17,0.341687034
39648.21,0.327695682
39648.25,0.300389521
39648.29,0.209880297
39648.33,0.124335605
39648.37,0.093612615
39648.42,0.164189597
39648.46,0.189389463
39648.5,0.328348546
39648.54,0.391456719
39648.58,0.401894024
39648.62,0.371308039
39648.67,0.382695124
39648.71,0.21287754
39648.75,0.040926527
39648.79,0.192012077
39648.83,0.062655867
39648.87,0.34668748
39648.92,0.024240068
39648.96,0.001587805
39649,0
39649.04,0
39649.08,0
39649.12,0
39649.17,0
39649.21,0.002221264
39649.25,0.093670847
39649.29,0.173182989
39649.33,0.209185574
39649.37,0.276844344
39649.42,0.412840674
39649.46,0.553723633
39649.5,0.61491133
39649.54,0.577047661
39649.58,0.681176465
39649.62,0.62035847
39649.67,0.714487195
39649.71,0.658021494
39649.75,0.620050281
39649.79,0.581790301
39649.83,0.464598758
39649.87,0.403063872
39649.92,0.512369662
39649.96,0.601873838
39650,0.514331992
39650.04,0.381958584
39650.08,0.183651051
39650.12,0.153537854
