Date,PJM Load (MW)
38751.87,88042.38347
38751.92,85849.47772
38751.96,81727.39035
38752,76362.26247
38752.04,71556.03026
38752.08,68786.58385
38752.12,67265.72357
38752.17,66357.64581
38752.21,66456.92465
38752.25,68271.97779
38752.29,71766.7125
38752.33,76007.81155
38752.37,80310.48958
38752.42,84118.78811
38752.46,86131.37559
38752.5,86799.67266
38752.54,86098.52468
38752.58,85326.57116
38752.62,84272.93626
38752.67,84047.02943
38752.71,85014.03509
38752.75,87801.02625
38752.79,90272.23258
38752.83,89378.84867
38752.87,87461.53831
38752.92,85088.72961
38752.96,81409.00601
38753,76979.93882
38753.04,72877.68535
38753.08,70617.36545
38753.12,69528.1264
38753.17,69261.91385
38753.21,69761.48141
38753.25,71091.71183
38753.29,73764.8566
38753.33,76947.73779
38753.37,80708.8118
38753.42,83469.16436
38753.46,84499.7039
38753.5,84943.59472
38753.54,85283.00982
38753.58,85428.37641
38753.62,85133.8108
38753.67,85336.79906
38753.71,86972.04252
38753.75,90828.95514
38753.79,93954.83027
38753.83,92900.50959
38753.87,92533.80523
38753.92,90987.14896
38753.96,88722.56698
38754,84435.91614
38754.04,80334.45648
38754.08,78822.02666
38754.12,78244.68918
38754.17,78162.12249
38754.21,79944.65194
38754.25,86479.761
38754.29,96831.81453
38754.33,102614.7987
38754.37,102534.9325
38754.42,101272.9166
38754.46,100336.8289
38754.5,98866.374
38754.54,97081.44322
38754.58,95343.04264
38754.62,93739.0393
38754.67,92483.12039
38754.71,93117.02108
38754.75,98209.42031
38754.79,104761.6911
38754.83,105580.4223
38754.87,104252.2495
38754.92,100890.247
38754.96,94813.45776
38755,88413.10594
38755.04,84125.71594
38755.08,81803.28753
38755.12,80928.38219
38755.17,81309.81281
38755.21,83140.01279
38755.25,88650.1184
38755.29,99250.83211
38755.33,104820.4458
38755.37,103554.8315
38755.42,101471.1198
38755.46,99614.25956
38755.5,97597.64725
38755.54,95895.57927
38755.58,94511.91401
38755.62,93291.63466
38755.67,92651.27936
38755.71,93824.87557
38755.75,99058.58541
38755.79,105370.1028
38755.83,106106.8389
38755.87,104392.172
38755.92,101217.5816
38755.96,95325.07788
38756,88929.949
38756.04,84600.36785
38756.08,82599.95937
38756.12,81697.23132
38756.17,81814.4295
38756.21,83842.43507
38756.25,89564.94591
38756.29,100013.6816
38756.33,105279.4363
38756.37,103842.165
38756.42,101927.0836
38756.46,100270.1973
38756.5,98700.9025
38756.54,97353.22722
38756.58,96280.52683
38756.62,95390.44601
38756.67,95069.93921
38756.71,97052.15535
38756.75,101777.0826
38756.79,107057.2745
38756.83,107514.9565
38756.87,106021.4484
38756.92,102729.2902
38756.96,96901.84524
38757,90607.25
38757.04,86242.20036
38757.08,84291.59225
38757.12,83670.09232
38757.17,83846.27441
38757.21,86024.99042
38757.25,92035.94807
38757.29,102568.4583
38757.33,107751.8941
38757.37,106387.0122
38757.42,104259.5244
38757.46,102478.0559
38757.5,100670.2957
38757.54,98875.22144
38757.58,97216.2002
38757.62,95310.00966
38757.67,94434.88254
38757.71,95603.8658
38757.75,100889.2243
38757.79,107602.4329
38757.83,108453.815
38757.87,107244.8511
38757.92,104128.8474
38757.96,98254.38843
38758,91746.20995
38758.04,87388.59514
38758.08,85385.34045
38758.12,84523.15487
38758.17,84467.41332
38758.21,86221.553
38758.25,91443.08521
38758.29,101185.0639
38758.33,106448.8597
38758.37,105703.3556
38758.42,103978.308
38758.46,102016.1966
38758.5,99715.86116
38758.54,97568.15391
38758.58,95734.65461
38758.62,93799.40192
38758.67,92449.56768
38758.71,92909.95697
38758.75,96310.00166
38758.79,100641.5488
38758.83,100039.8965
38758.87,98958.76715
38758.92,95986.5306
38758.96,91436.43096
38759,85811.10239
38759.04,80850.24619
38759.08,77896.97348
38759.12,76473.86576
38759.17,75888.4268
38759.21,76131.08557
38759.25,77787.99541
38759.29,81076.59995
38759.33,85042.80165
38759.37,89008.03932
38759.42,91901.20607
38759.46,92370.31419
38759.5,91952.46026
38759.54,90856.72886
38759.58,89380.22618
38759.62,88232.65653
38759.67,88183.48161
38759.71,89684.59542
38759.75,93188.54528
38759.79,97176.06987
38759.83,96535.1659
38759.87,95110.92703
38759.92,92340.85659
38759.96,88506.84877
38760,83810.7101
38760.04,79787.84972
38760.08,77470.92265
38760.12,76539.89017
38760.17,76080.27
38760.21,76398.01476
38760.25,77553.84597
38760.29,79847.92855
38760.33,82188.87546
38760.37,85295.80545
38760.42,87774.82026
38760.46,88411.68746
38760.5,88438.30977
38760.54,87940.91096
38760.58,87018.37772
38760.62,86161.3844
38760.67,86139.57322
38760.71,87695.58036
38760.75,92541.05337
38760.79,98969.32496
38760.83,99912.31596
38760.87,98828.60068
38760.92,96188.43258
38760.96,91886.32179
38761,87629.96094
38761.04,84260.12851
38761.08,83083.48459
38761.12,82922.4726
38761.17,83669.00702
38761.21,86143.69939
38761.25,91802.62834
38761.29,101413.1331
38761.33,106706.3318
38761.37,106700.3722
38761.42,105302.6035
38761.46,104196.9725
38761.5,102875.2193
38761.54,101229.2901
38761.58,99691.74025
38761.62,98180.97837
38761.67,97133.16549
38761.71,98209.19323
38761.75,102216.3734
38761.79,108546.3337
38761.83,109380.8873
38761.87,107705.5469
38761.92,104118.213
38761.96,97834.22971
38762,91128.75874
38762.04,86775.23606
38762.08,84484.52234
38762.12,83692.91633
38762.17,83797.51666
38762.21,85758.99769
38762.25,91414.9891
38762.29,101476.7642
38762.33,106023.9355
38762.37,103850.546
38762.42,100950.204
38762.46,98465.44155
38762.5,95966.42371
38762.54,93752.2448
38762.58,92047.16084
38762.62,90165.72968
38762.67,88754.9192
38762.71,88947.25577
38762.75,92124.93013
38762.79,98475.04921
38762.83,99830.88282
38762.87,98606.31274
38762.92,95929.61175
38762.96,90375.05664
38763,84118.35343
38763.04,79844.1185
38763.08,78114.91716
38763.12,77431.07936
38763.17,77529.19006
38763.21,79569.01769
38763.25,85234.96273
38763.29,95537.61361
38763.33,99930.32615
38763.37,98070.65525
38763.42,95278.10271
38763.46,93373.39694
38763.5,91154.05864
38763.54,89016.35155
38763.58,87569.74297
38763.62,86236.48291
38763.67,85342.3631
38763.71,86163.08449
38763.75,89780.31115
38763.79,95587.74952
38763.83,96360.31435
38763.87,94789.85067
38763.92,91833.13575
38763.96,86251.38315
38764,79836.3236
38764.04,75332.28565
38764.08,72995.30965
38764.12,72064.96015
38764.17,72168.62989
38764.21,73629.63657
38764.25,79346.43852
38764.29,89556.49708
38764.33,94716.13967
38764.37,93757.28744
38764.42,91774.11973
38764.46,90585.90769
38764.5,89167.23034
38764.54,87748.69223
38764.58,86775.55944
38764.62,85812.04709
38764.67,85112.03978
38764.71,85812.25841
38764.75,88383.63387
38764.79,93176.63627
38764.83,93297.00212
38764.87,91443.09164
38764.92,88171.63698
38764.96,82430.04639
38765,76207.56534
38765.04,71314.13814
38765.08,68744.63998
38765.12,67697.10459
38765.17,68003.80053
38765.21,69218.04676
38765.25,74278.2304
38765.29,83967.32832
38765.33,90326.97313
38765.37,91769.43051
38765.42,92203.3319
38765.46,92315.08449
38765.5,91792.44796
38765.54,90626.71591
38765.58,89944.7888
38765.62,88909.65585
38765.67,87947.66337
38765.71,88643.34026
38765.75,91686.29835
38765.79,96857.00169
38765.83,97254.45307
38765.87,96057.10575
38765.92,93920.6082
38765.96,90057.62086
38766,84723.73906
38766.04,80494.69219
38766.08,77813.64232
38766.12,76742.24856
38766.17,76481.29945
38766.21,77251.00298
38766.25,78896.10513
38766.29,82805.98369
38766.33,87448.94671
38766.37,92331.86719
38766.42,96461.482
38766.46,98153.85303
38766.5,97946.83061
38766.54,96351.11527
38766.58,94491.55555
38766.62,92744.62697
38766.67,91699.66042
38766.71,92379.70682
38766.75,95755.2464
38766.79,102503.3167
38766.83,104515.9584
38766.87,104049.2939
38766.92,102727.9816
38766.96,99760.88541
38767,96259.24248
38767.04,93038.69663
38767.08,91251.74626
38767.12,90657.9998
38767.17,90690.63028
38767.21,91340.63011
38767.25,92864.19353
38767.29,95328.73309
38767.33,97390.18302
38767.37,98734.74909
38767.42,98742.62649
38767.46,97195.13327
38767.5,95293.25046
38767.54,93319.4088
38767.58,90629.32056
38767.62,87945.2221
38767.67,86700.32278
38767.71,87462.18411
38767.75,92070.84856
38767.79,99645.85303
38767.83,102119.4452
38767.87,101323.1159
38767.92,99110.19303
38767.96,95705.90795
38768,91580.06436
38768.04,87820.79354
38768.08,85867.53664
38768.12,85085.95859
38768.17,85170.0591
38768.21,86576.18218
38768.25,90572.00755
38768.29,97112.32908
38768.33,101505.0887
38768.37,103687.7736
38768.42,104083.3109
38768.46,103280.9412
38768.5,101469.8187
38768.54,99142.32459
38768.58,96768.44968
38768.62,94661.42679
38768.67,92859.31299
38768.71,93242.42562
38768.75,96985.59649
38768.79,104277.1087
38768.83,106335.8085
38768.87,105368.3562
38768.92,101785.8726
38768.96,95666.5724
38769,89733.55065
38769.04,85251.59389
38769.08,83003.55245
38769.12,82289.29082
38769.17,82227.85177
38769.21,84072.58418
38769.25,89801.43989
38769.29,99961.63127
38769.33,104756.7609
38769.37,103261.7035
38769.42,101133.3451
38769.46,99238.04203
38769.5,97244.49404
38769.54,95191.55974
38769.58,93219.34866
38769.62,91344.80126
38769.67,89778.96891
38769.71,89943.22537
38769.75,92858.93198
38769.79,100015.2037
38769.83,102808.4176
38769.87,101789.6772
38769.92,98712.64443
38769.96,93493.22989
38770,87332.08424
38770.04,82916.8332
38770.08,80784.23729
38770.12,79927.25516
38770.17,79651.25306
38770.21,81200.34996
38770.25,86507.13638
38770.29,96221.53301
38770.33,101362.9343
38770.37,100768.3806
38770.42,99674.80854
38770.46,98832.72141
38770.5,97427.47281
38770.54,96125.9785
38770.58,95115.07278
38770.62,93795.1604
38770.67,93113.4946
38770.71,94377.30297
38770.75,97494.19152
38770.79,101275.3611
38770.83,102027.5281
38770.87,100187.0627
38770.92,96306.39567
38770.96,90508.94963
38771,83920.59311
38771.04,79190.78412
38771.08,76762.53347
38771.12,75663.15889
38771.17,75523.74739
38771.21,77073.44515
38771.25,82345.16883
