Date,MountStorm_App
40865.58,0.014012874
40865.62,0.007220852
40865.67,0.021970738
40865.71,0.126832251
40865.75,0.156152624
40865.79,0.225063743
40865.83,0.192534667
40865.87,0.364533233
40865.92,0.374154128
40865.96,0.420642109
40866,0.497574474
40866.04,0.428844301
40866.08,0.389768833
40866.12,0.418484057
40866.17,0.340706988
40866.21,0.308065132
40866.25,0.259289682
40866.29,0.151424853
40866.33,0.052388792
40866.37,0.017170355
40866.42,0.007567477
40866.46,0.010260308
40866.5,0.00966074
40866.54,0.008247852
40866.58,0.009806705
40866.62,0.010130103
40866.67,0.02980583
40866.71,0.34007871
40866.75,0.585800006
40866.79,0.755937872
40866.83,0.702146604
40866.87,0.368266662
40866.92,0.365130506
40866.96,0.375739052
40867,0.2711007
40867.04,0.277013642
40867.08,0.291770368
40867.12,0.263376212
40867.17,0.324484097
40867.21,0.458145773
40867.25,0.643151618
40867.29,0.525592673
40867.33,0.532784195
40867.37,0.637886046
40867.42,0.523962542
40867.46,0.567868203
40867.5,0.447231588
40867.54,0.139503057
40867.58,0.696595349
40867.62,0.298713346
40867.67,0.013517508
40867.71,0.013651468
40867.75,0.275670362
40867.79,0.50658486
40867.83,0.37662281
40867.87,0.444770481
40867.92,0.400579905
40867.96,0.366480632
40868,0.154922539
40868.04,0.104752994
40868.08,0.024889371
40868.12,0.010406545
40868.17,0
40868.21,0
40868.25,0
40868.29,0
40868.33,0
40868.37,0
40868.42,0
40868.46,0
40868.5,0.00797475
40868.54,0.001040182
40868.58,0
40868.62,0
40868.67,0
40868.71,0.00208364
40868.75,0.006162377
40868.79,0.005533144
40868.83,0.004685131
40868.87,0.006579623
40868.92,0.003156637
40868.96,0.008447698
40869,0.008415913
40869.04,0.013005836
40869.08,0.022979562
40869.12,0.012257164
40869.17,0.00866265
40869.21,0.009736226
40869.25,0.008044598
40869.29,0.00734122
40869.33,0.008195556
40869.37,0.008601792
40869.42,0.019946309
40869.46,0.023233407
40869.5,0.020767753
40869.54,0.03674398
40869.58,0.181482566
40869.62,0.235916027
40869.67,0.163007677
40869.71,0.203416912
40869.75,0.276390858
40869.79,0.345755837
40869.83,0.556223574
40869.87,0.702837108
40869.92,0.477274093
40869.96,0.583224046
40870,0.754274362
40870.04,0.717769324
40870.08,0.388267291
40870.12,0.609073269
40870.17,0.752275267
40870.21,0.757013708
40870.25,0.704937106
40870.29,0.7386463
40870.33,0.730440365
40870.37,0.786421287
40870.42,0.786421287
40870.46,0.786421287
40870.5,0.786421287
40870.54,0.786421287
40870.58,0.786421287
40870.62,0.786421287
40870.67,0.786421287
40870.71,0.786421287
40870.75,0.786421287
40870.79,0.786421287
40870.83,0.786421287
40870.87,0.786421287
40870.92,0.786421287
40870.96,0.786421287
40871,0.786421287
40871.04,0.786421287
40871.08,0.786421287
40871.12,0.786421287
40871.17,0.786421287
40871.21,0.786421287
40871.25,0.786421287
40871.29,0.786421287
40871.33,0.786421287
40871.37,0.786421287
40871.42,0.771733041
40871.46,0.741591473
40871.5,0.752399436
40871.54,0.702922629
40871.58,0.590290087
40871.62,0.648177489
40871.67,0.737055424
40871.71,0.757922621
40871.75,0.769477871
40871.79,0.786421287
40871.83,0.786421287
40871.87,0.76145714
40871.92,0.761742612
40871.96,0.786421287
40872,0.786421287
40872.04,0.786421287
40872.08,0.786421287
40872.12,0.786421287
40872.17,0.786421287
40872.21,0.786421287
40872.25,0.786421287
40872.29,0.777914063
40872.33,0.723819679
40872.37,0.733709385
40872.42,0.650400302
40872.46,0.573643016
40872.5,0.539160503
40872.54,0.446729757
40872.58,0.510694887
40872.62,0.72312624
40872.67,0.742844047
40872.71,0.738349916
40872.75,0.55520699
40872.79,0.124166448
40872.83,0.236064137
40872.87,0.518795811
40872.92,0.738718134
40872.96,0.71970644
40873,0.733626015
40873.04,0.786421287
40873.08,0.746663165
40873.12,0.677843832
40873.17,0.74000468
40873.21,0.732738438
40873.25,0.749081662
40873.29,0.743985463
40873.33,0.786421287
40873.37,0.786421287
40873.42,0.72146561
40873.46,0.729441927
40873.5,0.530839735
40873.54,0.414039735
40873.58,0.163594554
40873.62,0.032783797
40873.67,0.300379728
40873.71,0.328539656
40873.75,0.162065716
40873.79,0.16658788
40873.83,0.275875896
40873.87,0.307832443
40873.92,0.401748026
40873.96,0.514568406
40874,0.521867895
40874.04,0.529412122
40874.08,0.505327483
40874.12,0.506187366
40874.17,0.662232949
40874.21,0.751242243
40874.25,0.72658986
40874.29,0.77017702
40874.33,0.730846715
40874.37,0.711588171
40874.42,0.610975428
40874.46,0.545629233
40874.5,0.487104756
40874.54,0.361159052
40874.58,0.394281326
40874.62,0.569095853
40874.67,0.741554943
40874.71,0.716831331
40874.75,0.709642027
40874.79,0.748195452
40874.83,0.730489866
40874.87,0.690318968
40874.92,0.738222294
40874.96,0.731118395
40875,0.751221992
40875.04,0.757147874
40875.08,0.757925338
40875.12,0.75521174
40875.17,0.75747196
40875.21,0.755833787
40875.25,0.730283873
40875.29,0.697329648
40875.33,0.589408425
40875.37,0.31654924
40875.42,0.16359327
40875.46,0.262371481
40875.5,0.311041556
40875.54,0.438672641
40875.58,0.489424193
40875.62,0.561617129
40875.67,0.541485368
40875.71,0.469266356
40875.75,0.422087275
40875.79,0.372548563
40875.83,0.456504342
40875.87,0.492198319
40875.92,0.554528038
40875.96,0.719249322
40876,0.692685464
40876.04,0.738148153
40876.08,0.74296866
40876.12,0.717908249
40876.17,0.672923593
40876.21,0.73151548
40876.25,0.753057293
40876.29,0.725722828
40876.33,0.487180848
40876.37,0.300000278
40876.42,0.44287269
40876.46,0.324472845
40876.5,0.118333622
40876.54,0.20633719
40876.58,0.289577536
40876.62,0.201087583
40876.67,0.014087773
40876.71,0.030089057
40876.75,0.124280869
40876.79,0.435141088
40876.83,0.568321426
40876.87,0.640371004
40876.92,0.711111279
40876.96,0.753524908
40877,0.744699895
40877.04,0.76755961
40877.08,0.763493793
40877.12,0.786421287
40877.17,0.661148582
40877.21,0.70158026
40877.25,0.773542458
40877.29,0.786421287
40877.33,0.786421287
40877.37,0.786421287
40877.42,0.786421287
40877.46,0.786421287
40877.5,0.786421287
40877.54,0.786421287
40877.58,0.786421287
40877.62,0.786421287
40877.67,0.786421287
40877.71,0.786421287
40877.75,0.786421287
40877.79,0.786421287
40877.83,0.786421287
40877.87,0.786421287
40877.92,0.786421287
40877.96,0.786421287
40878,0.786421287
40878.04,0.786421287
40878.08,0.756933828
40878.12,0.72211194
40878.17,0.755511617
40878.21,0.746692163
40878.25,0.707756087
40878.29,0.665257897
40878.33,0.590198423
40878.37,0.475092482
40878.42,0.270360194
40878.46,0.096810981
40878.5,0.017889028
40878.54,0.00811783
40878.58,0.005411113
40878.62,0
40878.67,0.089992552
40878.71,0.233250874
40878.75,0.234947193
40878.79,0.302432659
40878.83,0.44054962
40878.87,0.598267216
40878.92,0.627106578
40878.96,0.701977289
40879,0.732999825
40879.04,0.755275857
40879.08,0.756454781
40879.12,0.751946807
40879.17,0.754171742
40879.21,0.747559882
40879.25,0.745257129
40879.29,0.748806132
40879.33,0.743542758
40879.37,0.611182741
40879.42,0.402890928
40879.46,0.299677589
40879.5,0.236391205
40879.54,0.24054103
