Date,year,month,weekend
19141,1952,5,0
19142,1952,5,0
19143,1952,5,0
19144,1952,5,0
19145,1952,5,1
19146,1952,6,1
19147,1952,6,0
19148,1952,6,0
19149,1952,6,0
19150,1952,6,0
19151,1952,6,0
19152,1952,6,1
19153,1952,6,1
19154,1952,6,0
19155,1952,6,0
19156,1952,6,0
19157,1952,6,0
19158,1952,6,0
19159,1952,6,1
19160,1952,6,1
19161,1952,6,0
19162,1952,6,0
19163,1952,6,0
19164,1952,6,0
19165,1952,6,0
19166,1952,6,1
19167,1952,6,1
19168,1952,6,0
19169,1952,6,0
19170,1952,6,0
19171,1952,6,0
19172,1952,6,0
19173,1952,6,1
19174,1952,6,1
19175,1952,6,0
19176,1952,7,0
19177,1952,7,0
19178,1952,7,0
19179,1952,7,0
19180,1952,7,1
19181,1952,7,1
19182,1952,7,0
19183,1952,7,0
19184,1952,7,0
19185,1952,7,0
19186,1952,7,0
19187,1952,7,1
19188,1952,7,1
19189,1952,7,0
19190,1952,7,0
19191,1952,7,0
19192,1952,7,0
19193,1952,7,0
19194,1952,7,1
19195,1952,7,1
19196,1952,7,0
19197,1952,7,0
19198,1952,7,0
19199,1952,7,0
19200,1952,7,0
19201,1952,7,1
19202,1952,7,1
19203,1952,7,0
19204,1952,7,0
19205,1952,7,0
19206,1952,7,0
19207,1952,8,0
19208,1952,8,1
19209,1952,8,1
19210,1952,8,0
19211,1952,8,0
19212,1952,8,0
19213,1952,8,0
19214,1952,8,0
19215,1952,8,1
19216,1952,8,1
19217,1952,8,0
19218,1952,8,0
19219,1952,8,0
19220,1952,8,0
19221,1952,8,0
19222,1952,8,1
19223,1952,8,1
19224,1952,8,0
19225,1952,8,0
19226,1952,8,0
19227,1952,8,0
19228,1952,8,0
19229,1952,8,1
19230,1952,8,1
19231,1952,8,0
19232,1952,8,0
19233,1952,8,0
19234,1952,8,0
19235,1952,8,0
19236,1952,8,1
19237,1952,8,1
19238,1952,9,0
19239,1952,9,0
19240,1952,9,0
19241,1952,9,0
19242,1952,9,0
19243,1952,9,1
19244,1952,9,1
19245,1952,9,0
19246,1952,9,0
19247,1952,9,0
19248,1952,9,0
19249,1952,9,0
19250,1952,9,1
19251,1952,9,1
19252,1952,9,0
19253,1952,9,0
19254,1952,9,0
19255,1952,9,0
19256,1952,9,0
19257,1952,9,1
19258,1952,9,1
19259,1952,9,0
19260,1952,9,0
19261,1952,9,0
19262,1952,9,0
19263,1952,9,0
19264,1952,9,1
19265,1952,9,1
19266,1952,9,0
19267,1952,9,0
19268,1952,10,0
19269,1952,10,0
19270,1952,10,0
19271,1952,10,1
19272,1952,10,1
19273,1952,10,0
19274,1952,10,0
19275,1952,10,0
19276,1952,10,0
19277,1952,10,0
19278,1952,10,1
19279,1952,10,1
19280,1952,10,0
19281,1952,10,0
19282,1952,10,0
19283,1952,10,0
19284,1952,10,0
19285,1952,10,1
19286,1952,10,1
19287,1952,10,0
19288,1952,10,0
19289,1952,10,0
19290,1952,10,0
19291,1952,10,0
19292,1952,10,1
19293,1952,10,1
19294,1952,10,0
19295,1952,10,0
19296,1952,10,0
19297,1952,10,0
19298,1952,10,0
19299,1952,11,1
19300,1952,11,1
19301,1952,11,0
19302,1952,11,0
19303,1952,11,0
19304,1952,11,0
19305,1952,11,0
19306,1952,11,1
19307,1952,11,1
19308,1952,11,0
19309,1952,11,0
19310,1952,11,0
19311,1952,11,0
19312,1952,11,0
19313,1952,11,1
19314,1952,11,1
19315,1952,11,0
19316,1952,11,0
19317,1952,11,0
19318,1952,11,0
19319,1952,11,0
19320,1952,11,1
19321,1952,11,1
19322,1952,11,0
19323,1952,11,0
19324,1952,11,0
19325,1952,11,0
19326,1952,11,0
19327,1952,11,1
19328,1952,11,1
19329,1952,12,0
19330,1952,12,0
19331,1952,12,0
19332,1952,12,0
19333,1952,12,0
19334,1952,12,1
19335,1952,12,1
19336,1952,12,0
19337,1952,12,0
19338,1952,12,0
19339,1952,12,0
19340,1952,12,0
19341,1952,12,1
19342,1952,12,1
19343,1952,12,0
19344,1952,12,0
19345,1952,12,0
19346,1952,12,0
19347,1952,12,0
19348,1952,12,1
19349,1952,12,1
19350,1952,12,0
19351,1952,12,0
